Orthogroup	ostreococcus_tauri	arabidopsis_thaliana
OG0004697	ostta09g00170	AT5G42390
OG0004698		AT5G49110
OG0004699	ostta02g02680	AT4G11380, AT4G23460
OG0004700	ostta05g02160	AT2G47210
OG0004701	ostta07g03830	AT3G07790
OG0004702	ostta02g04600	AT3G48110
OG0004703	ostta17g00570	AT1G30380
OG0004704	ostta02g01460	AT1G47250, AT5G42790
OG0004705	ostta10g02930	AT2G21440
OG0004706	ostta05g04050	AT5G39940
OG0004707	ostta05g04440	AT1G20540, AT1G76260
OG0004708	ostta02g04460	AT2G04540
OG0004709		AT4G08870, AT4G08900
OG0004710	ostta07g02870	AT5G44450
OG0004711	ostta02g03350	AT4G38630
OG0004712	ostta01g02610	AT2G40550
OG0004713	ostta11g02310	AT2G21385
OG0004714	ostta02g04650	AT3G44890
OG0004715	ostta04g04390	AT2G20420
OG0004716	ostta04g00600	AT4G20440, AT5G44500
OG0004717	ostta08g02750	AT2G46900
OG0004718	ostta01g02700	AT2G25610, AT4G32530
OG0004719	ostta01g02080	AT1G14345
OG0004720		AT2G45640
OG0004721	ostta14g00140	AT1G63780
OG0004722	ostta04g00450	AT2G07690
OG0004723	ostta12g02530	AT3G26730
OG0004724	ostta12g00110	AT2G42120
OG0004725	ostta08g01110, ostta11g00940	AT1G67320
OG0004726	ostta05g02220	AT1G77720
OG0004727	ostta18g00610	AT3G15150
OG0004728	ostta12g01490	AT5G50230
OG0004729	ostta08g02510	AT1G29900
OG0004730	ostta13g01860	AT2G43190
OG0004731	ostta17g01835	AT1G69390
OG0004732	ostta07g02660	AT5G21140
OG0004733	ostta01g05860	AT2G40800, AT3G56430
OG0004734		AT5G13520
OG0004735	ostta11g02120	AT3G12080
OG0004736		AT4G13577, AT5G10320
OG0004737	ostta14g00340	AT5G40850
OG0004738	ostta05g04180	AT4G15770
OG0004739		AT5G48960
OG0004740	ostta14g02660	
OG0004741		AT1G51260, AT3G57650
OG0004742		AT4G25290
OG0004743	ostta14g01387	AT4G04870
OG0004744	ostta17g01660	AT2G18000, AT5G45600
OG0004745	ostta06g03990	AT4G02460
OG0004746	ostta18g00160	AT5G48240
OG0004747		
OG0004748	ostta16g01230, ostta16g01885	
OG0004749		
OG0004750		
OG0004751	ostta15g00380	AT3G58830
OG0004752	ostta03g01870	
OG0004753		
OG0004754		
OG0004755	ostta20g00860	AT5G50340
OG0004756	ostta14g00790	AT3G56900
OG0004757		AT1G23170, AT1G70770, AT2G18070, AT3G11880
OG0004758		AT2G28490
OG0004759	ostta07g01410	AT2G25310, AT4G32130
OG0004760		AT4G19180
OG0004761	ostta06g04400	AT3G55160
OG0004762	ostta14g01060	AT1G32990, AT5G51610
OG0004763		
OG0004764		
OG0004765	ostta02g02000	AT1G37150, AT2G25710
OG0004766	ostta15g00980	AT3G51980
OG0004767	ostta07g00060	AT2G36230
OG0004768	ostta09g01080	AT1G15700, AT4G04640
OG0004769		ATCG00500
OG0004770		
OG0004771		
OG0004772	ostta04g03540, ostta05g04370, ostta06g01550	
OG0004773	ostta04g05130, ostta11g02250	
OG0004774	ostta16g01470	
OG0004775		
OG0004776		
OG0004777		
OG0004778		
OG0004779		
OG0004780		
OG0004781		
OG0004782		
OG0004783		
OG0004784		
OG0004785		
OG0004786		
OG0004787		
OG0004788		
OG0004789		AT2G07655
OG0004790	ostta06g02690	AT3G59770
OG0004791		AT1G28390, AT3G51990, AT5G23170
OG0004792	ostta10g03050	AT3G24100, AT4G13615
OG0004793		AT3G44300, AT3G44310, AT3G44320, AT5G22300
OG0004794	ostta09g03810	AT2G14285, AT4G30220
OG0004795		AT2G06005, AT5G20580
OG0004796	ostta09g00520	AT3G09090
OG0004797		AT1G09040, AT1G09050, AT1G55050, AT2G47820
OG0004798		AT1G12150, AT3G13190, AT4G17210, AT5G55860
OG0004799	ostta03g05740	AT1G16870
OG0004800		AT3G24660, AT5G07620, AT5G61570
OG0004801	ostta12g02110	AT1G06720
OG0004802		
OG0004803	ostta03g00090, ostta06g03710, ostta07g02090	AT4G22830
OG0004804	ostta05g00950	AT5G24840
OG0004805	ostta05g02310	AT4G24210, AT5G48170
OG0004806		AT1G27750
OG0004807	ostta04g04680	AT4G21820
OG0004808	ostta07g01340	AT5G59440
OG0004809		AT2G26610, AT3G33530
OG0004810		AT5G14240
OG0004811	ostta12g02900	AT1G03190
OG0004812		
OG0004813	ostta02g02290	AT1G29940
OG0004814	ostta01g00240	AT4G36400
OG0004815	ostta03g03850	AT5G24670
OG0004816	ostta17g00250	AT4G04940
OG0004817		AT3G07870
OG0004818		AT3G55000, AT3G55005
OG0004819	ostta01g00360, ostta03g03870	AT2G45240
OG0004820		AT1G05970
OG0004821	ostta01g01210	AT4G31720
OG0004822	ostta04g00390	AT5G49010
OG0004823		AT4G13400
OG0004824	ostta15g00530	AT1G08750
OG0004825	ostta10g02870	AT4G31400
OG0004826	ostta02g02670	AT4G21800
OG0004827	ostta03g03260	AT2G17630, AT4G35630
OG0004828	ostta01g00830	AT4G32260
OG0004829		AT4G36980
OG0004830	ostta03g02275	AT2G44525, AT3G60150
OG0004831	ostta17g02410	AT1G31780
OG0004832	ostta04g00750	AT1G60440, AT4G32180
OG0004833	ostta11g00630	AT4G00020, AT5G01630
OG0004834	ostta13g01890	AT3G52260
OG0004835		AT2G15790
OG0004836	ostta15g00060	AT3G20330
OG0004837	ostta01g05750	AT2G42770
OG0004838	ostta07g04660	AT5G08420
OG0004839		
OG0004840		AT4G17380
OG0004841	ostta04g00120	AT3G61140
OG0004842		AT5G53050
OG0004843	ostta16g02600	AT3G04830, AT5G28220
OG0004844	ostta12g01620	AT1G01350, AT4G01023, AT5G06420
OG0004845	ostta13g00130	AT5G52820
OG0004846		AT3G01435
OG0004847	ostta03g03270	AT4G21770
OG0004848	ostta01g00570	AT4G01560
OG0004849	ostta04g03160	AT3G21060
OG0004850	ostta15g00990	AT1G52230, AT3G16140
OG0004851	ostta07g02260, ostta14g01420	AT2G04270
OG0004852	ostta04g01690	AT1G03150
OG0004853	ostta09g02270	AT1G51740
OG0004854	ostta01g05360	AT3G18760
OG0004855	ostta04g00720	AT5G65490
OG0004856	ostta17g00140	AT3G09250
OG0004857	ostta07g02130	AT5G48470
OG0004858		AT1G34110, AT3G24240, AT5G48940
OG0004859		AT2G25930, AT3G21320
OG0004860		AT5G52880
OG0004861	ostta11g01580	AT1G48430, AT3G17770
OG0004862	ostta12g02670	AT2G11000
OG0004863	ostta05g01560	AT3G49620, AT3G49630, AT3G50210
OG0004864		AT4G29905, AT5G10695, AT5G57123
OG0004865	ostta17g01710	AT3G15520
OG0004866	ostta13g02990	AT1G79810
OG0004867	ostta02g00680	AT1G12650
OG0004868	ostta04g01450	AT1G03910
OG0004869		AT1G30970
OG0004870	ostta10g02080	AT3G05480
OG0004871	ostta03g03070	AT2G27760, AT3G23630, AT3G63110, AT5G19040
OG0004872	ostta16g02680	AT1G67930
OG0004873	ostta17g02185	AT3G02710
OG0004874	ostta09g03050	AT2G01440
OG0004875		AT5G08160
OG0004876		AT1G04430, AT3G23300, AT4G14360, AT5G14430
OG0004877	ostta06g01490	AT5G27720
OG0004878	ostta06g00680	AT1G54210, AT3G13970
OG0004879	ostta03g04150	AT2G01350
OG0004880	ostta18g00210	AT3G03750
OG0004881		AT2G41430, AT4G14270
OG0004882	ostta06g02810	AT1G17350, AT1G72420
OG0004883	ostta03g02960	AT2G33450
OG0004884	ostta10g02435	AT3G59380
OG0004885	ostta07g04390	AT2G45770
OG0004886	ostta14g00090	AT1G72440
OG0004887		AT4G32050
OG0004888		AT1G18470, AT1G68820, AT1G73950
OG0004889		AT5G58220
OG0004890	ostta11g01460, ostta13g00950	AT1G71990
OG0004891	ostta17g00100	AT3G59400
OG0004892	ostta15g00050	AT5G17240
OG0004893		AT1G17230, AT2G33170, AT5G63930
OG0004894	ostta07g01430, ostta08g02880	AT3G09850
OG0004895	ostta10g03250	AT1G50510
OG0004896	ostta01g04110	AT5G23080
OG0004897	ostta03g00820	AT1G80460
OG0004898	ostta06g02860	AT5G53490
OG0004899	ostta01g05470	AT3G10530
OG0004900	ostta02g04290	AT2G39990
OG0004901	ostta06g01090	AT3G28700
OG0004902	ostta01g00740	AT3G08650
OG0004903	ostta01g01880	AT3G48210
OG0004904	ostta06g04000	AT5G41190
OG0004905	ostta13g00300, ostta14g02475	AT1G09280
OG0004906	ostta11g01960	AT4G30820
OG0004907		AT1G64510
OG0004908		AT3G09050
OG0004909	ostta02g01070	AT4G08960
OG0004910	ostta11g01150	AT1G07615
OG0004911	ostta13g00600	AT3G04970
OG0004912		AT1G21400, AT5G09300, AT5G34780
OG0004913		AT1G34150
OG0004914	ostta17g00410	AT3G48540
OG0004915	ostta13g01850	AT2G46180, AT3G61570
OG0004916	ostta03g00280	AT3G50960, AT5G66410
OG0004917		AT5G66840
OG0004918		AT2G29630
OG0004919	ostta07g03200	AT1G60620, AT1G60850
OG0004920		AT1G43690
OG0004921	ostta12g02980	AT5G35080
OG0004922	ostta01g04170	AT1G73060
OG0004923	ostta06g03240	AT5G45900
OG0004924	ostta07g00020	AT5G54260
OG0004925	ostta07g04010	AT2G44640, AT3G06960
OG0004926		AT5G38460
OG0004927	ostta03g00070	AT3G10220
OG0004928	ostta03g02530	AT1G60080
OG0004929	ostta06g01955	AT2G22040, AT3G18140
OG0004930	ostta04g04410, ostta15g02230	AT5G06620
OG0004931	ostta13g00070	AT3G27160, AT5G63300
OG0004932		AT3G50370
OG0004933		AT3G28670
OG0004934	ostta14g01850	AT1G75350
OG0004935	ostta09g04480	AT1G54380, AT2G42510
OG0004936		AT1G44780, AT4G08310
OG0004937	ostta08g03680	AT5G22110
OG0004938		AT1G80060, AT3G07860, AT4G32270, AT5G25340
OG0004939	ostta12g00810	AT2G15240
OG0004940	ostta17g00640	AT1G25260
OG0004941		AT5G09260, AT5G63880
OG0004942	ostta04g01710	AT1G77320
OG0004943	ostta01g06220	AT3G14120
OG0004944	ostta03g02925	AT2G20890
OG0004945	ostta01g04450	AT4G05000, AT4G21560
OG0004946		AT5G43430
OG0004947		AT4G03090
OG0004948	ostta09g01495	AT3G54130
OG0004949	ostta15g00890	AT1G21640
OG0004950	ostta04g02880, ostta08g03410	AT5G51880
OG0004951		AT1G55325
OG0004952		AT5G66030
OG0004953		AT3G06200
OG0004954	ostta15g02795	AT5G57950
OG0004955	ostta02g02240	AT1G27980
OG0004956	ostta07g03160	AT4G39690
OG0004957		AT5G07590
OG0004958		AT5G39960
OG0004959	ostta07g01020, ostta07g01030	AT4G34270
OG0004960		AT5G12260
OG0004961	ostta08g04250	AT3G43490, AT3G43503, AT3G43590, AT5G36240
OG0004962	ostta01g02890	AT4G06599
OG0004963	ostta14g01555	AT1G75670
OG0004964		AT3G56460
OG0004965	ostta01g03160	AT5G49880
OG0004966	ostta15g00940	AT2G01220, AT3G27610
OG0004967		
OG0004968		
OG0004969	ostta09g01930	AT1G55090
OG0004970	ostta13g00580	AT2G41490, AT3G57220
OG0004971		
OG0004972		ATMG00750
OG0004973	ostta14g00700	AT3G10230
OG0004974	ostta09g02630	AT5G48840
OG0004975	ostta06g00090	AT1G06790
OG0004976	ostta06g01640	AT5G65220
OG0004977	ostta14g02620	AT4G17650
OG0004978	ostta10g00010	AT3G11964
OG0004979	ostta05g01530	
OG0004980	ostta06g03620, ostta15g00640	
OG0004981		
OG0004982		
OG0004983	ostta14g02560	
OG0004984		
OG0004985		
OG0004986		
OG0004987		
OG0004988		
OG0004989		
OG0004990	ostta18g01100	AT1G54310
OG0004991		AT1G10740, AT1G23330
OG0004992	ostta05g01620	AT5G44370
OG0004993		AT1G15040, AT1G66860, AT5G38200
OG0004994		
OG0004995	ostta04g02650, ostta05g00490	AT3G55400
OG0004996		
OG0004997	ostta02g01420	AT4G03240
OG0004998		
OG0004999	ostta07g04750	AT1G48050
OG0005000		
OG0005001		AT5G64700
OG0005002	ostta13g00930	AT4G34920, AT4G34930, AT4G38690
OG0005003		AT2G21490, AT3G50980, AT4G39130, AT5G66400
OG0005004		AT3G01516, AT5G14690
OG0005005		AT3G55950, AT5G47850
OG0005006	ostta03g03770	AT5G47090
OG0005007		AT1G51350
OG0005008		ATCG00360
OG0005009	ostta15g01750	AT5G17930
OG0005010		AT3G12640
OG0005011	ostta10g00440	AT3G02400, AT4G14490
OG0005012		
OG0005013	ostta10g00520	AT1G67440, AT1G67460
OG0005014	ostta16g00660	AT1G08550
OG0005015		AT3G54220, AT5G41920
OG0005016	ostta16g00050	AT1G24610
OG0005017		AT3G57120
OG0005018	ostta13g01980	AT3G55830
OG0005019	ostta02g00390	AT2G45000
OG0005020		
OG0005021		AT5G60190
OG0005022	ostta09g04500	AT4G29170
OG0005023	ostta05g04650, ostta06g01290	AT2G48060
OG0005024		AT2G31840, AT4G28590
OG0005025	ostta15g00035	AT4G18460
OG0005026	ostta03g02850	
OG0005027		
OG0005028	ostta06g02630	AT5G61220
OG0005029	ostta04g05400	AT5G03900
OG0005030	ostta02g04530	AT1G26750
OG0005031	ostta01g05520	AT3G59650
OG0005032	ostta18g00680	AT1G20370, AT1G76120
OG0005033		ATCG00040
OG0005034		AT3G57990
OG0005035	ostta10g02860, ostta16g00590	AT4G14210
OG0005036	ostta15g02000	AT5G47890
OG0005037		AT1G19110, AT1G72500
OG0005038	ostta06g00765	AT5G14850
OG0005039		AT4G21105
OG0005040	ostta09g01280	AT5G09910, AT5G64813
OG0005041		AT1G04970
OG0005042		AT1G53450, AT3G14830
OG0005043	ostta06g04347	AT3G18940
OG0005044	ostta08g00590	AT2G26840, AT3G43910
OG0005045	ostta01g01890	AT5G38840
OG0005046	ostta05g00360	AT5G57280
OG0005047	ostta01g05510	AT1G14688, AT1G59560, AT1G63900
OG0005048	ostta03g05060	AT5G53000
OG0005049	ostta04g02750	AT4G02620
OG0005050	ostta05g01680	AT2G14050
OG0005051		AT1G22860
OG0005052	ostta18g01000	AT2G21960
OG0005053	ostta03g05050	AT5G67290
OG0005054	ostta09g04110	AT3G29010
OG0005055		AT4G25450
OG0005056		AT3G47300, AT5G58640
OG0005057		AT5G27710
OG0005058	ostta15g02620	AT5G40660
OG0005059		AT2G21290, AT2G38140
OG0005060		AT3G19820
OG0005061		AT3G09390, AT5G02380
OG0005062	ostta03g05880	AT1G52370, AT4G28360
OG0005063	ostta06g01560	AT3G60360
OG0005064		AT5G03770
OG0005065		AT1G20020, AT5G66190
OG0005066	ostta14g01220	AT5G24490
OG0005067	ostta11g00040	AT1G03160
OG0005068	ostta02g01120	AT1G23280
OG0005069	ostta14g02197	AT2G44050
OG0005070		AT1G54740, AT1G77932, AT3G63020, AT5G22390
OG0005071		AT2G44090, AT3G59910
OG0005072	ostta06g04290	AT1G06590
OG0005073	ostta10g03550	AT1G66590, AT1G69750
OG0005074	ostta08g03250	AT1G62730
OG0005075	ostta03g05480	AT5G60340
OG0005076	ostta04g02900	AT4G24270
OG0005077	ostta16g01930, ostta16g01950	AT3G02510, AT5G16040
OG0005078	ostta13g01240	AT3G16840
OG0005079		AT2G42810
OG0005080		AT1G55280
OG0005081	ostta03g05650	AT3G01740, AT5G14290
OG0005082	ostta07g02950	AT2G07340
OG0005083	ostta02g02920	AT5G09860
OG0005084	ostta13g02770	AT2G44820
OG0005085	ostta12g01940	AT3G13940
OG0005086	ostta07g03640	AT3G54440
OG0005087	ostta07g03340	AT4G30580
OG0005088		AT4G33540
OG0005089	ostta02g03640	AT1G48850
OG0005090	ostta15g01880	
OG0005091		AT3G11040, AT3G61010, AT5G05460
OG0005092		AT5G63460
OG0005093		AT3G03130, AT5G17160
OG0005094		AT5G52370, AT5G58990
OG0005095		AT2G30600
OG0005096	ostta01g02270	AT1G13180
OG0005097		AT1G12050
OG0005098	ostta07g04160	AT1G16080
OG0005099	ostta15g02640	AT1G12244
OG0005100	ostta09g04020	AT1G31870
OG0005101		AT4G01040
OG0005102	ostta05g03810	AT4G37190
OG0005103	ostta18g01220	AT5G23710
OG0005104	ostta17g01500	AT1G51710, AT3G21280
OG0005105	ostta01g05900	AT5G64730
OG0005106	ostta01g04980	AT4G34910
OG0005107	ostta03g03820	AT1G16210
OG0005108	ostta17g00540	AT5G19150
OG0005109	ostta08g03390, ostta09g02340	AT4G04670
OG0005110	ostta01g04730	AT2G42210, AT3G57900
OG0005111	ostta12g00070	AT1G31660
OG0005112	ostta18g01820	AT5G12410
OG0005113	ostta05g00270	AT3G15620
OG0005114		AT1G12060
OG0005115	ostta08g01300	AT2G21530
OG0005116		AT4G14330
OG0005117	ostta07g02350	AT1G12770
OG0005118	ostta18g01130	AT5G16280
OG0005119	ostta02g04180	AT3G13235
OG0005120	ostta03g00060	AT4G17590, AT4G26600, AT5G55920
OG0005121	ostta03g01170	AT3G13120
OG0005122	ostta02g01680	AT2G03690
OG0005123	ostta02g04130	AT1G04130
OG0005124	ostta11g01550	AT1G28140
OG0005125	ostta02g02760	AT4G17620
OG0005126	ostta02g00860	AT1G78800
OG0005127	ostta08g01340	AT5G54910
OG0005128	ostta06g01120	AT1G24793, AT1G25054, AT1G25145, AT1G25210
OG0005129	ostta12g00820	AT5G51340
OG0005130	ostta09g02570	AT5G06410
OG0005131	ostta13g02420	AT3G21390, AT5G48970
OG0005132	ostta15g02210	AT5G26760
OG0005133	ostta02g05340	AT1G08380
OG0005134	ostta04g02700	AT2G19270
OG0005135		AT2G38420, AT3G14580, AT4G01400, AT5G16420, AT5G64320
OG0005136	ostta01g03410, ostta09g03575	AT5G37530
OG0005137	ostta15g01130	AT5G66930
OG0005138	ostta09g00792	AT2G05140, AT2G37690
OG0005139		AT3G49600
OG0005140	ostta01g04830	AT5G51220
OG0005141	ostta15g01480	AT4G37270
OG0005142		AT3G23800, AT4G14030, AT4G14040
OG0005143	ostta18g01780	AT5G65960
OG0005144	ostta07g03520	AT5G01340
OG0005145	ostta15g02720	
OG0005146		
OG0005147	ostta06g00400, ostta06g01240, ostta12g02150, ostta17g01330	
OG0005148	ostta11g00520	AT2G01110
OG0005149	ostta03g04220	AT5G56740
OG0005150	ostta01g06140	AT1G30520
OG0005151		
OG0005152	ostta13g02640	AT1G73960
OG0005153	ostta14g00800	AT2G26350
OG0005154	ostta06g02930, ostta12g01430, ostta12g01830	
OG0005155	ostta14g00550	
OG0005156	ostta06g01830	AT3G07050
OG0005157		AT5G07670, AT5G51370, AT5G51380
OG0005158	ostta04g00990	
OG0005159	ostta09g01110, ostta12g01120	
OG0005160		
OG0005161	ostta07g02675	
OG0005162	ostta06g03180, ostta07g04650, ostta10g02480	
OG0005163		
OG0005164		
OG0005165		
OG0005166		
OG0005167		
OG0005168		
OG0005169		
OG0005170		
OG0005171		
OG0005172		
OG0005173		
OG0005174		
OG0005175	ostta18g01500	AT1G02100
OG0005176		ATCG00710
OG0005177		
OG0005178		AT1G22460, AT5G64600
OG0005179	ostta09g01440	AT3G08010
OG0005180	ostta13g00530	AT4G33460
OG0005181		
OG0005182		AT1G28120
OG0005183		AT2G45340, AT4G22730, AT5G51560
OG0005184	ostta05g04950	AT1G03360
OG0005185	ostta05g02790	AT1G61780
OG0005186		
OG0005187	ostta05g01480	AT2G25830
OG0005188		AT1G67325
OG0005189		AT2G02590
OG0005190	ostta03g03380	AT3G02260
OG0005191		AT1G12000, AT4G04040
OG0005192		AT2G39630
OG0005193		AT3G47820, AT5G40140, AT5G62560, AT5G65200
OG0005194		
OG0005195		AT1G19710, AT1G52420, AT1G75420, AT3G15940
OG0005196	ostta14g00960	AT5G44200
OG0005197		AT1G10890, AT5G13340
OG0005198	ostta07g00070	AT1G73180
OG0005199		AT1G71190, AT5G11870
OG0005200	ostta09g00500	AT4G09010
OG0005201	ostta12g02080	AT2G45280
OG0005202	ostta13g02890	AT1G29320
OG0005203		AT1G78280
OG0005204		AT1G28290, AT2G33790, AT5G05500
OG0005205	ostta09g03660	AT2G43770
OG0005206	ostta18g00590	AT3G25920
OG0005207	ostta08g01580	AT5G40530
OG0005208	ostta10g02610	AT3G22425, AT4G14910
OG0005209	ostta11g00910	AT1G44900
OG0005210		AT1G10790, AT3G10810, AT3G56590
OG0005211		AT1G80210, AT3G06820
OG0005212		AT4G03200
OG0005213	ostta18g00190	AT1G28100
OG0005214	ostta12g01520	AT1G07745
OG0005215	ostta14g02710	AT1G50000
OG0005216	ostta20g00910	AT5G63060
OG0005217	ostta11g00090	AT5G30490
OG0005218	ostta01g04150	AT5G64050
OG0005219	ostta01g00310	AT1G04900
OG0005220	ostta02g02820	AT1G69680
OG0005221		AT3G51640, AT3G51650
OG0005222		AT4G34490
OG0005223	ostta04g04320	AT4G33925
OG0005224	ostta17g02210, ostta19g00180	AT1G64570
OG0005225	ostta03g01880	AT3G49640
OG0005226		AT1G55160, AT2G19530
OG0005227		AT4G14110
OG0005228		AT1G30610, AT5G67570
OG0005229		AT4G17100
OG0005230	ostta01g04790	AT2G47980
OG0005231	ostta06g01200	AT3G26085
OG0005232	ostta08g02420	AT1G14300
OG0005233		AT3G55070
OG0005234		AT2G01770
OG0005235		AT1G07280, AT2G29670, AT3G47080
OG0005236		AT3G05190, AT5G27410
OG0005237	ostta08g03830	AT5G27395
OG0005238		AT1G64110, AT4G28000, AT5G52882
OG0005239	ostta20g00360	AT4G12130
OG0005240		AT1G21870, AT1G77610
OG0005241		AT1G51360, AT2G31670
OG0005242	ostta06g02850	AT1G76080
OG0005243	ostta12g02970	AT5G10920
OG0005244		AT1G80360
OG0005245	ostta04g05060	AT5G23550, AT5G24170
OG0005246	ostta11g00100	AT5G51140
OG0005247		
OG0005248	ostta08g01390, ostta11g01920	AT1G53520
OG0005249	ostta13g02780	AT4G27640
OG0005250		AT3G16730
OG0005251	ostta13g02090	AT4G32360
OG0005252		AT5G35430
OG0005253		AT2G02170
OG0005254	ostta01g01790	AT5G46840
OG0005255		AT3G19990
OG0005256	ostta09g04390	AT1G13870
OG0005257	ostta02g01410	AT3G56650
OG0005258	ostta03g00540	AT5G14100
OG0005259		AT5G10810
OG0005260	ostta04g02660	AT3G47930
OG0005261		AT5G21050, AT5G64090
OG0005262		AT2G14660
OG0005263	ostta02g05230	AT3G12260
OG0005264		AT2G21640, AT3G05570, AT4G39235
OG0005265	ostta03g03100	AT5G18570
OG0005266	ostta11g02450	AT4G31770
OG0005267	ostta13g02490	AT1G30960
OG0005268	ostta03g04750	AT3G10670
OG0005269	ostta02g00250	AT2G44860
OG0005270	ostta08g02100	AT3G59780
OG0005271	ostta02g05250	AT1G20000, AT4G20280
OG0005272		AT5G25900
OG0005273	ostta04g01120	AT3G48500
OG0005274	ostta14g02210	AT2G05120
OG0005275	ostta12g02990	AT3G11540
OG0005276	ostta06g01480	AT1G43860
OG0005277		AT1G04980, AT2G32920
OG0005278	ostta03g03680	AT5G56900
OG0005279	ostta07g02720	AT1G32500
OG0005280	ostta12g01330	AT2G39910
OG0005281	ostta15g02460	AT5G17250
OG0005282	ostta02g03670	AT2G18760
OG0005283	ostta04g02630	AT3G47450
OG0005284	ostta12g00090	AT2G21800, AT2G22140
OG0005285	ostta02g01360	AT1G56050
OG0005286	ostta18g01810	AT3G13225
OG0005287		
OG0005288	ostta13g02140	AT5G15390
OG0005289	ostta07g02630	AT3G59630
OG0005290		AT2G25355, AT4G32175
OG0005291	ostta20g00930	AT5G39790
OG0005292		AT3G44380
OG0005293	ostta13g00570	AT1G26940
OG0005294	ostta04g04340, ostta07g03320	AT5G35100
OG0005295	ostta06g04050	AT1G19025
OG0005296		AT1G66480, AT1G71015, AT2G01340, AT5G37840
OG0005297	ostta09g00280	AT2G40190
OG0005298		AT4G16570
OG0005299	ostta08g01320	AT3G02690
OG0005300	ostta05g01160	AT1G50020
OG0005301	ostta09g03080	AT4G01940
OG0005302		AT1G09340
OG0005303	ostta07g04450	AT1G48350
OG0005304	ostta06g04120	AT4G39970
OG0005305	ostta05g01080	AT1G42440
OG0005306		AT4G29720
OG0005307	ostta06g03670, ostta07g01440	AT5G25480
OG0005308		AT1G22870, AT1G71410
OG0005309	ostta11g02400	AT3G06680, AT3G06700
OG0005310	ostta20g00600	AT3G06950
OG0005311		AT5G48020
OG0005312		AT4G24680
OG0005313		AT4G37020
OG0005314	ostta10g02250	AT4G04680, AT5G06350, AT5G27010
OG0005315	ostta05g03790	AT1G09450
OG0005316	ostta14g00330	AT1G21190, AT1G76860
OG0005317	ostta01g01610, ostta07g01590	AT1G49350
OG0005318	ostta03g00550, ostta07g03000	AT3G52155
OG0005319		AT1G50940
OG0005320		AT1G55610, AT2G01950, AT3G13380, AT4G39400
OG0005321	ostta08g01360	AT3G33520
OG0005322	ostta09g01020	AT2G41020
OG0005323	ostta14g02070	AT1G48860, AT2G45300
OG0005324	ostta06g01460	AT3G25470
OG0005325	ostta14g01880	AT3G25980
OG0005326		AT5G11680
OG0005327	ostta01g03500	AT1G09300
OG0005328	ostta06g03370	AT4G01690
OG0005329		AT5G43600
OG0005330	ostta15g00570	AT4G11860, AT4G22960
OG0005331	ostta06g01910	AT2G25950
OG0005332		AT3G62360
OG0005333	ostta09g02070	
OG0005334	ostta17g01360	AT3G24430
OG0005335	ostta06g02130	AT1G26530, AT2G46230
OG0005336		AT2G28140, AT2G28690, AT3G44940, AT5G09940, AT5G22930, AT5G59760
OG0005337		AT2G37020
OG0005338	ostta06g01760	AT1G63290, AT3G01850
OG0005339	ostta18g00290	AT1G04730
OG0005340	ostta13g02030	AT5G52560
OG0005341		AT2G42780
OG0005342		AT5G22820
OG0005343	ostta18g01550	AT4G35250
OG0005344		AT5G65660
OG0005345	ostta01g05780	AT5G11980
OG0005346	ostta10g00390	AT4G11790
OG0005347	ostta09g03270	AT1G22970, AT1G22980, AT1G71150
OG0005348	ostta05g00560	AT3G17040
OG0005349	ostta02g02280	AT1G77090
OG0005350	ostta06g01030	AT1G78630
OG0005351		AT5G54440
OG0005352		AT1G03060, AT4G02660
OG0005353	ostta09g00760	
OG0005354	ostta02g02860	
OG0005355	ostta10g00820	AT3G50920, AT5G66450
OG0005356		AT5G08050
OG0005357	ostta08g00300	AT5G22830
OG0005358	ostta01g01580	AT1G03760
OG0005359		AT3G16220, AT3G16230
OG0005360	ostta05g03760	AT1G33390
OG0005361		
OG0005362		
OG0005363	ostta16g00630	AT1G77890, AT4G08540
OG0005364		
OG0005365		
OG0005366		
OG0005367		
OG0005368	ostta09g03480	
OG0005369	ostta06g01250	AT5G10780
OG0005370		
OG0005371	ostta12g02200	AT1G19800
OG0005372	ostta08g03610	AT4G33760
OG0005373		
OG0005374		
OG0005375		AT1G15190, AT1G30800, AT4G12950, AT4G29980
OG0005376		AT1G31370, AT1G31380, AT1G31390, AT1G31400, AT2G01790, AT2G05400, AT2G05410, AT2G05420, AT2G05430, AT2G42455, AT2G42460, AT2G42465, AT2G42470, AT2G42475, AT2G42480, AT3G27040, AT3G29580, AT3G44790, AT3G44800, AT3G44805, AT3G58200, AT3G58210, AT3G58230, AT3G58240, AT3G58250, AT3G58260, AT3G58270, AT3G58280, AT3G58290, AT3G58300, AT3G58320, AT3G58330, AT3G58340, AT3G58350, AT3G58360, AT3G58370, AT3G58380, AT3G58400, AT3G58410, AT3G58420, AT3G58430, AT3G58440, AT5G03550
OG0005377	ostta14g02410, ostta17g01420	
OG0005378		
OG0005379		
OG0005380		
OG0005381		
OG0005382		
OG0005383		
OG0005384		
OG0005385		
OG0005386		
OG0005387		
OG0005388		
OG0005389		AT1G18740, AT1G43630, AT1G63930, AT1G74450, AT4G11300, AT4G23530
OG0005390		AT1G55915
OG0005391		AT1G13650, AT2G03810
OG0005392		AT1G33670, AT2G26380, AT3G12610, AT3G20820, AT5G12940, AT5G23400
OG0005393		AT3G54230
OG0005394	ostta01g03940	AT1G29990
